customer_id,first_name,last_name,email,phone,date_of_birth,gender,address,city,state,country,postal_code,registration_date,is_premium,lifetime_value,last_login,account_status
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Joshua,Walker,rhodespatricia@example.org,001-260-501-3389,1989-08-11,Other,79402 Peterson Drives Apt. 511,Davisstad,Rhode Island,Estonia,06196,2024-12-17,True,173.8,2025-06-19 18:40:08.213051,inactive
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,Andrea,Calderon,barbara10@example.net,441.731.6475,1966-11-19,M,192 Frank Light Suite 835,East Lydiamouth,Montana,Ethiopia,09176,2023-12-04,True,740.71,2025-07-01 23:28:46.979557,active
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Diana,Foster,ithomas@example.org,001-388-249-6965x3287,1998-10-01,Other,269 Paul Ranch,Riceside,Alabama,Pitcairn Islands,94967,2023-09-24,True,2972.94,2025-06-30 05:37:56.662735,active
a4161293-c4c2-42e3-844e-a7c8c0398710,Matthew,Carter,shawnmckay@example.net,282-781-4893x252,1975-04-14,M,4303 Christopher Oval,Port Amandaberg,Florida,Palestinian Territory,62797,2025-05-25,True,1132.26,2025-06-08 15:28:34.077661,suspended
6c52c49f-9b49-4d26-9f57-c59a8715a103,Tamara,Hickman,jenniferross@example.net,+1-557-587-1331x5098,1944-12-15,Other,10518 Joshua Oval,New David,Oregon,Morocco,62454,2023-12-27,True,2828.16,2025-06-17 21:07:30.868112,suspended
18d0752b-1825-4c54-b0be-b45f683514f2,Donna,Gomez,uowens@example.org,+1-610-965-1333x87262,1960-03-29,Other,8108 Tanya Terrace,East Richard,New Mexico,Croatia,53066,2025-04-22,False,1141.18,2025-06-08 15:07:24.418673,suspended
43e458fc-63f2-4e24-bc3d-3348008d4127,Sara,Glover,rodney87@example.org,243.909.8050,1976-03-07,F,81219 Emma Freeway,Wilsonshire,Kansas,Mozambique,78425,2023-08-01,True,3806.1,2025-06-06 03:36:45.987043,active
85d51695-90b2-4633-956b-8c0ca8499b92,Leslie,Green,john62@example.net,+1-647-451-0799x1183,2003-04-19,Other,54278 Carr Valley,Lake Lisaport,Texas,Bosnia and Herzegovina,18102,2024-01-12,False,1734.24,2025-06-30 09:10:40.336559,active
45b89cd9-27cb-4f2a-8da0-1097be0f051b,Juan,Clark,james48@example.com,801-264-0052x427,1951-07-21,M,059 Russell Canyon,Michaelton,Minnesota,Cote d'Ivoire,89900,2024-01-01,False,555.94,2025-06-06 18:35:46.067373,inactive
dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,Richard,Oliver,sarayoung@example.org,(360)825-6342,1999-06-13,M,37543 Andrew Fields Suite 541,Michaelhaven,Montana,Philippines,70783,2024-03-01,False,4245.1,2025-06-04 12:27:25.587030,suspended
